"region";"ålder";"2020"
"14 Västra Götalands län";"95-99 år";3393
"14 Västra Götalands län";"100+ år";376
"17 Värmlands län";"18-19 år";5909
"17 Värmlands län";"20-24 år";15874
"17 Värmlands län";"25-29 år";17732
"17 Värmlands län";"30-34 år";17624
"17 Värmlands län";"35-39 år";15467
"17 Värmlands län";"40-44 år";15047
"17 Värmlands län";"45-49 år";17256
"17 Värmlands län";"50-54 år";18563
"17 Värmlands län";"55-59 år";18501
"17 Värmlands län";"60-64 år";17479
"17 Värmlands län";"65-69 år";17207
"17 Värmlands län";"70-74 år";17790
"17 Värmlands län";"75-79 år";14618
"17 Värmlands län";"80-84 år";9363
"17 Värmlands län";"85-89 år";5856
"17 Värmlands län";"90-94 år";2724
"17 Värmlands län";"95-99 år";671
"17 Värmlands län";"100+ år";72
"18 Örebro län";"18-19 år";6714
"18 Örebro län";"20-24 år";19403
"18 Örebro län";"25-29 år";20764
"18 Örebro län";"30-34 år";20196
"18 Örebro län";"35-39 år";17714
"18 Örebro län";"40-44 år";17651
"18 Örebro län";"45-49 år";18975
"18 Örebro län";"50-54 år";19426
"18 Örebro län";"55-59 år";18486
"18 Örebro län";"60-64 år";16616
"18 Örebro län";"65-69 år";16428
"18 Örebro län";"70-74 år";17499
"18 Örebro län";"75-79 år";14944
"18 Örebro län";"80-84 år";8807
"18 Örebro län";"85-89 år";4883
"18 Örebro län";"90-94 år";2320
"18 Örebro län";"95-99 år";658
"18 Örebro län";"100+ år";90
"19 Västmanlands län";"18-19 år";6095
"19 Västmanlands län";"20-24 år";14687
"19 Västmanlands län";"25-29 år";18312
"19 Västmanlands län";"30-34 år";18648
"19 Västmanlands län";"35-39 år";16247
"19 Västmanlands län";"40-44 år";15731
"19 Västmanlands län";"45-49 år";17125
"19 Västmanlands län";"50-54 år";18216
"19 Västmanlands län";"55-59 år";17959
"19 Västmanlands län";"60-64 år";15393
"19 Västmanlands län";"65-69 år";14640
"19 Västmanlands län";"70-74 år";15996
"19 Västmanlands län";"75-79 år";13383
"19 Västmanlands län";"80-84 år";8566
"19 Västmanlands län";"85-89 år";4759
"19 Västmanlands län";"90-94 år";2311
"19 Västmanlands län";"95-99 år";628
"19 Västmanlands län";"100+ år";89
"20 Dalarnas län";"18-19 år";5989
"20 Dalarnas län";"20-24 år";13846
"20 Dalarnas län";"25-29 år";16855
"20 Dalarnas län";"30-34 år";17988
"20 Dalarnas län";"35-39 år";15871
"20 Dalarnas län";"40-44 år";15591
"20 Dalarnas län";"45-49 år";17161
"20 Dalarnas län";"50-54 år";18180
"20 Dalarnas län";"55-59 år";18371
"20 Dalarnas län";"60-64 år";17879
"20 Dalarnas län";"65-69 år";18101
"20 Dalarnas län";"70-74 år";19308
"20 Dalarnas län";"75-79 år";15675
"20 Dalarnas län";"80-84 år";9535
"20 Dalarnas län";"85-89 år";5619
"20 Dalarnas län";"90-94 år";2579
"20 Dalarnas län";"95-99 år";591
"20 Dalarnas län";"100+ år";63
"21 Gävleborgs län";"18-19 år";6273
"21 Gävleborgs län";"20-24 år";14597
"21 Gävleborgs län";"25-29 år";17508
"21 Gävleborgs län";"30-34 år";17852
"21 Gävleborgs län";"35-39 år";15492
"21 Gävleborgs län";"40-44 år";15164
"21 Gävleborgs län";"45-49 år";17943
"21 Gävleborgs län";"50-54 år";18966
"21 Gävleborgs län";"55-59 år";18849
"21 Gävleborgs län";"60-64 år";17584
"21 Gävleborgs län";"65-69 år";17564
"21 Gävleborgs län";"70-74 år";18842
"21 Gävleborgs län";"75-79 år";15580
"21 Gävleborgs län";"80-84 år";9269
"21 Gävleborgs län";"85-89 år";5448
"21 Gävleborgs län";"90-94 år";2410
"21 Gävleborgs län";"95-99 år";569
"21 Gävleborgs län";"100+ år";48
"22 Västernorrlands län";"18-19 år";5380
"22 Västernorrlands län";"20-24 år";11673
"22 Västernorrlands län";"25-29 år";14107
"22 Västernorrlands län";"30-34 år";14987
"22 Västernorrlands län";"35-39 år";13301
"22 Västernorrlands län";"40-44 år";13767
"22 Västernorrlands län";"45-49 år";15271
"22 Västernorrlands län";"50-54 år";16446
"22 Västernorrlands län";"55-59 år";15743
"22 Västernorrlands län";"60-64 år";15178
"22 Västernorrlands län";"65-69 år";15044
"22 Västernorrlands län";"70-74 år";15820
"22 Västernorrlands län";"75-79 år";13124
"22 Västernorrlands län";"80-84 år";8310
"22 Västernorrlands län";"85-89 år";4807
"22 Västernorrlands län";"90-94 år";2062
"22 Västernorrlands län";"95-99 år";440
"22 Västernorrlands län";"100+ år";54
"23 Jämtlands län";"18-19 år";2708
"23 Jämtlands län";"20-24 år";6645
"23 Jämtlands län";"25-29 år";8183
"23 Jämtlands län";"30-34 år";8629
"23 Jämtlands län";"35-39 år";7521
"23 Jämtlands län";"40-44 år";7274
"23 Jämtlands län";"45-49 år";8077
"23 Jämtlands län";"50-54 år";8185
"23 Jämtlands län";"55-59 år";8319
"23 Jämtlands län";"60-64 år";8002
"23 Jämtlands län";"65-69 år";8060
"23 Jämtlands län";"70-74 år";8415
"23 Jämtlands län";"75-79 år";6675
"23 Jämtlands län";"80-84 år";4062
"23 Jämtlands län";"85-89 år";2449
"23 Jämtlands län";"90-94 år";1058
"23 Jämtlands län";"95-99 år";276
"23 Jämtlands län";"100+ år";31
"24 Västerbottens län";"18-19 år";6026
"24 Västerbottens län";"20-24 år";18497
"24 Västerbottens län";"25-29 år";20175
"24 Västerbottens län";"30-34 år";18935
"24 Västerbottens län";"35-39 år";16626
"24 Västerbottens län";"40-44 år";15655
"24 Västerbottens län";"45-49 år";16046
"24 Västerbottens län";"50-54 år";16356
"24 Västerbottens län";"55-59 år";15837
"24 Västerbottens län";"60-64 år";15755
"24 Västerbottens län";"65-69 år";15420
"24 Västerbottens län";"70-74 år";15415
"24 Västerbottens län";"75-79 år";12308
"24 Västerbottens län";"80-84 år";8081
"24 Västerbottens län";"85-89 år";4740
"24 Västerbottens län";"90-94 år";2058
"24 Västerbottens län";"95-99 år";497
"24 Västerbottens län";"100+ år";53
"25 Norrbottens län";"18-19 år";5348
"25 Norrbottens län";"20-24 år";14382
"25 Norrbottens län";"25-29 år";15867
"25 Norrbottens län";"30-34 år";16042
"25 Norrbottens län";"35-39 år";13591
"25 Norrbottens län";"40-44 år";12965
"25 Norrbottens län";"45-49 år";14957
"25 Norrbottens län";"50-54 år";16464
"25 Norrbottens län";"55-59 år";16495
"25 Norrbottens län";"60-64 år";16225
"25 Norrbottens län";"65-69 år";15773
"25 Norrbottens län";"70-74 år";16180
"25 Norrbottens län";"75-79 år";12777
"25 Norrbottens län";"80-84 år";8679
"25 Norrbottens län";"85-89 år";5080
"25 Norrbottens län";"90-94 år";2056
"25 Norrbottens län";"95-99 år";423
"25 Norrbottens län";"100+ år";32
